buy_rank,ticker,sp_index,company_name,industry,sector,trade_date,close,pred_price_q50_t5,pred_return_q50_t5_pct,pred_price_q10_t5,pred_price_q90_t5,pred_price_q50_t1,pred_price_q50_t2,pred_price_q50_t3,pred_price_q50_t4,top_drivers
1,SABR,SP600,Sabre Corporation,Software - Infrastructure,Technology,2026-08-24,2.26,2.62,15.94,2.37,2.94,2.21,2.15,2.15,2.26,"rsi14:7.6%, close:6.6%, atr14:6.3%"
2,COTY,SP600,Coty Inc.,Household & Personal Products,Consumer Defensive,2026-08-24,2.79,3.13,12.21,2.85,3.51,2.74,2.66,2.75,2.99,"rsi14:7.2%, close:6.6%, atr14:5.7%"
3,NCLH,SP500,Norwegian Cruise Line Holdings Ltd.,Travel Services,Consumer Cyclical,2026-08-24,17.22,19.06,10.7,17.75,20.63,17.3,16.89,17.67,17.8,"rsi14:7.7%, macd_signal:7.5%, atr14:6.3%"
4,NWL,SP600,Newell Brands Inc.,Household & Personal Products,Consumer Defensive,2026-08-24,6.07,6.67,9.92,6.26,7.16,5.93,5.89,5.92,6.37,"rsi14:7.8%, close:6.8%, atr14:6.3%"
5,JBLU,SP600,JetBlue Airways Corporation,Airlines,Industrials,2026-08-24,4.95,5.43,9.72,5.09,5.84,4.88,4.78,4.89,5.24,"rsi14:7.8%, atr14:6.5%, close:6.2%"
6,CCL,SP500,Carnival Corporation Ltd.,Travel Services,Consumer Cyclical,2026-08-24,25.71,27.95,8.72,26.63,29.43,25.6,25.14,25.64,26.46,"rsi14:8.2%, atr14:7.1%, vol:4.5%"
7,KSS,SP600,Kohl's Corporation,Department Stores,Consumer Cyclical,2026-08-24,18.3,19.87,8.6,18.65,21.32,18.04,17.83,18.14,18.69,"rsi14:8.0%, atr14:6.9%, close:5.6%"
8,AESI,SP600,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,Energy,2026-08-24,11.9,12.83,7.82,11.62,14.28,11.07,10.69,10.55,10.94,"atr14:8.8%, rsi14:7.6%, vol:4.3%"
9,EFOR,SP600,"Everforth, Inc.",Information Technology Services,Technology,2026-08-24,32.5,34.81,7.09,32.75,37.18,31.11,30.75,30.88,32.28,"rsi14:7.7%, atr14:7.1%, close:6.1%"
10,WHR,SP400,Whirlpool Corporation,"Furnishings, Fixtures & Appliances",Consumer Cyclical,2026-08-24,40.13,42.89,6.88,40.57,45.59,39.56,38.96,38.73,40.14,"rsi14:7.7%, atr14:6.9%, close:6.1%"
11,DCH,SP600,Dauch Corporation,Auto Parts,Consumer Cyclical,2026-08-24,6.46,6.87,6.37,6.33,7.5,6.37,6.26,6.11,6.08,"rsi14:8.0%, atr14:6.5%, close:5.7%"
12,CNMD,SP600,CONMED Corporation,Medical Devices,Healthcare,2026-08-24,51.49,54.76,6.35,52.06,57.87,50.55,50.51,50.94,52.53,"rsi14:7.8%, close:6.5%, atr14:6.4%"
13,TNDM,SP600,"Tandem Diabetes Care, Inc.",Medical Devices,Healthcare,2026-08-24,22.22,23.54,5.94,21.26,26.62,22.6,22.11,22.44,23.08,"rsi14:7.5%, close:6.9%, atr14:6.3%"
14,CBRL,SP600,"Cracker Barrel Old Country Store, Inc.",Restaurants,Consumer Cyclical,2026-08-24,58.02,61.43,5.88,58.07,65.26,56.36,56.44,56.78,57.87,"rsi14:8.2%, atr14:6.8%, close:4.9%"
15,ARE,SP500,"Alexandria Real Estate Equities, Inc.",REIT - Office,Real Estate,2026-08-24,54.04,57.17,5.79,55.5,58.98,52.66,52.63,54.11,56.08,"rsi14:7.9%, atr14:6.5%, close:5.0%"
16,LEG,SP600,"Leggett & Platt, Incorporated","Furnishings, Fixtures & Appliances",Consumer Cyclical,2026-08-24,9.38,9.92,5.76,9.51,10.39,9.26,9.25,9.34,9.79,"rsi14:7.9%, atr14:6.5%, close:6.3%"
17,RXO,SP600,"RXO, Inc.",Trucking,Industrials,2026-08-24,21.28,22.48,5.63,21.08,24.04,21.66,20.8,20.83,21.53,"atr14:8.9%, rsi14:7.9%, vol:4.4%"
18,MLKN,SP600,"MillerKnoll, Inc.","Furnishings, Fixtures & Appliances",Consumer Cyclical,2026-08-24,23.16,24.46,5.63,23.46,25.61,23.0,22.86,23.06,23.54,"rsi14:8.1%, atr14:7.2%, close:4.3%"
19,TRIP,SP600,"Tripadvisor, Inc.",Travel Services,Consumer Cyclical,2026-08-24,10.19,10.75,5.47,9.98,11.67,10.2,9.95,9.92,10.14,"rsi14:7.8%, close:6.8%, atr14:6.3%"
20,UAA,SP600,"Under Armour, Inc.",Apparel Manufacturing,Consumer Cyclical,2026-08-24,5.37,5.66,5.34,5.26,6.14,5.39,5.29,5.32,5.48,"rsi14:7.9%, close:6.5%, atr14:6.3%"
21,QDEL,SP600,QuidelOrtho Corporation,Medical Devices,Healthcare,2026-08-24,14.49,15.25,5.25,14.35,16.35,14.44,14.37,14.53,14.98,"rsi14:7.8%, close:7.1%, atr14:6.3%"
22,IART,SP600,Integra LifeSciences Holdings Corporation,Medical Devices,Healthcare,2026-08-24,16.69,17.53,5.06,16.67,18.55,16.65,16.62,16.69,17.01,"rsi14:8.0%, atr14:6.6%, close:6.1%"
23,VYX,SP600,NCR Voyix Corporation,Information Technology Services,Technology,2026-08-24,7.96,8.36,5.05,7.98,8.81,7.81,7.77,7.8,8.07,"rsi14:8.0%, atr14:6.8%, close:6.2%"
24,AZTA,SP600,"Azenta, Inc.",Medical Instruments & Supplies,Healthcare,2026-08-24,32.88,34.47,4.83,32.57,36.67,33.09,32.74,32.65,33.44,"rsi14:8.1%, atr14:6.4%, close:5.2%"
25,LYFT,SP600,"Lyft, Inc.",Software - Application,Technology,2026-08-24,17.68,18.49,4.6,17.29,19.84,18.07,17.65,17.67,17.77,"rsi14:7.7%, close:6.4%, atr14:6.3%"
26,AMN,SP600,"AMN Healthcare Services, Inc.",Medical Care Facilities,Healthcare,2026-08-24,34.51,36.08,4.55,34.08,38.46,34.72,34.41,34.01,35.05,"rsi14:8.0%, atr14:6.5%, vol:4.8%"
27,DXC,SP600,DXC Technology Company,Information Technology Services,Technology,2026-08-24,10.63,11.11,4.54,10.6,11.69,10.58,10.4,10.57,10.64,"rsi14:8.1%, close:6.4%, atr14:5.9%"
28,MAT,SP400,"Mattel, Inc.",Leisure,Consumer Cyclical,2026-08-24,14.82,15.49,4.52,14.76,16.33,14.55,14.51,14.49,14.97,"rsi14:7.8%, atr14:7.0%, close:5.2%"
29,MHK,SP600,"Mohawk Industries, Inc.","Furnishings, Fixtures & Appliances",Consumer Cyclical,2026-08-24,134.07,139.93,4.37,134.08,146.51,132.29,131.68,132.25,135.54,"rsi14:7.9%, atr14:7.8%, vol:4.3%"
30,HOG,SP400,"Harley-Davidson, Inc.",Recreational Vehicles,Consumer Cyclical,2026-08-24,28.29,29.48,4.21,28.09,31.07,27.73,27.68,27.81,28.32,"rsi14:8.2%, atr14:7.1%, vol:4.4%"
31,PRGO,SP600,Perrigo Company plc,Drug Manufacturers - Specialty & Generic,Healthcare,2026-08-24,14.27,14.86,4.15,14.12,15.73,14.2,14.26,14.26,14.46,"rsi14:7.7%, close:7.1%, atr14:6.3%"
32,PVH,SP400,PVH Corp.,Apparel Manufacturing,Consumer Cyclical,2026-08-24,77.03,80.23,4.15,76.24,84.68,76.46,74.94,75.4,76.25,"atr14:8.7%, rsi14:7.6%, vol:4.0%"
33,AAP,SP600,"Advance Auto Parts, Inc.",Auto Parts,Consumer Cyclical,2026-08-24,43.63,45.42,4.11,43.47,47.69,43.83,43.62,44.02,44.9,"rsi14:7.9%, atr14:7.1%, close:5.3%"
34,OKTA,SP400,"Okta, Inc.",Software - Infrastructure,Technology,2026-08-24,130.97,136.15,3.96,129.05,144.1,138.53,139.29,140.34,137.84,"rsi14:8.2%, atr14:7.7%, macd:4.6%"
35,CRI,SP600,"Carter's, Inc.",Apparel Retail,Consumer Cyclical,2026-08-24,34.33,35.66,3.87,33.72,37.85,34.45,33.98,33.95,34.05,"rsi14:8.1%, atr14:7.2%, vol:4.4%"
36,GT,SP600,The Goodyear Tire & Rubber Company,Auto Parts,Consumer Cyclical,2026-08-24,6.0,6.23,3.82,5.8,6.74,5.93,5.89,5.83,5.79,"rsi14:7.9%, close:6.4%, atr14:6.2%"
37,ASTH,SP600,"Astrana Health, Inc.",Medical Care Facilities,Healthcare,2026-08-24,38.11,39.55,3.79,36.93,42.59,40.74,40.69,40.67,40.1,"rsi14:8.3%, atr14:6.5%, close:4.7%"
38,XRAY,SP400,DENTSPLY SIRONA Inc.,Medical Instruments & Supplies,Healthcare,2026-08-24,10.89,11.29,3.68,10.86,11.76,10.82,10.91,10.9,11.09,"macd_signal:7.8%, rsi14:7.6%, close:6.5%"
39,SMCI,SP500,"Super Micro Computer, Inc.",Computer Hardware,Technology,2026-08-24,35.17,36.46,3.66,34.43,38.71,36.15,35.66,36.37,35.73,"rsi14:8.1%, atr14:7.0%, vol:4.8%"
